"","s1.pileup.freq","s2.pileup.freq","s3.pileup.freq","s4.pileup.freq","s5.pileup.freq"
"chr1:23836521",5643,4891,4688,5930,4891
"chr1:23836522",5675,4909,4706,5941,4900
"chr1:23836523",5618,4858,4659,5883,4871
"chr1:23836524",5664,4880,4677,5870,4887
"chr1:23836525",5661,4855,4661,5805,4860
"chr1:23836526",5526,4695,4493,5658,4695
"chr1:23836527",5745,4800,4613,5764,4815
"chr1:23836528",5748,4780,4608,5758,4838
"chr1:23836529",5614,4728,4515,5624,4748
"chr1:23836530",5644,4757,4558,5655,4782
"chr1:23836531",5644,4753,4558,5631,4778
"chr1:23836532",5635,4702,4530,5608,4740
"chr1:23836533",5604,4659,4495,5565,4667
"chr1:23836534",5587,4652,4477,5560,4668
"chr1:23836535",5531,4582,4442,5523,4628
"chr1:23836536",5592,4585,4459,5552,4659
"chr1:23836537",5580,4575,4470,5533,4638
"chr1:23836538",5543,4537,4440,5514,4595
"chr1:23836539",5619,4589,4474,5566,4649
"chr1:23836540",5618,4573,4450,5543,4632
"chr1:23836541",5491,4493,4333,5443,4522
"chr1:23836542",5462,4446,4302,5437,4469
"chr1:23836543",5431,4417,4270,5362,4436
"chr1:23836544",5319,4354,4190,5264,4341
"chr1:23836545",5342,4349,4190,5287,4314
"chr1:23836546",5286,4289,4152,5242,4260
"chr1:23836547",5302,4296,4152,5246,4258
"chr1:23836548",5241,4264,4070,5136,4242
"chr1:23836549",5231,4246,4015,5106,4225
"chr1:23836550",5043,4120,3886,4995,4108
"chr1:23836551",5010,4115,3885,4995,4086
"chr1:23836552",4973,4076,3832,4955,4030
"chr1:23836553",4980,4080,3818,4956,4015
"chr1:23836554",4971,4072,3812,4944,3992
"chr1:23836555",4944,4013,3791,4895,3943
"chr1:23836556",4747,3770,3606,4682,3723
"chr1:23836557",4737,3769,3595,4664,3716
"chr1:23836558",4743,3750,3602,4666,3718
"chr1:23836559",4716,3737,3580,4653,3694
"chr1:23836560",4796,3759,3633,4694,3745
"chr1:23836561",4784,3744,3626,4673,3744
"chr1:23836562",4727,3710,3611,4636,3706
"chr1:23836563",4730,3710,3613,4647,3700
"chr1:23836564",4711,3672,3562,4602,3654
"chr1:23836565",4561,3534,3465,4511,3557
"chr1:23836566",4520,3485,3422,4474,3519
"chr1:23836567",4525,3472,3417,4466,3500
"chr1:23836568",4485,3442,3377,4438,3458
"chr1:23836569",4481,3440,3341,4450,3433
"chr1:23836570",4480,3432,3359,4454,3438
"chr1:23836571",4460,3408,3326,4426,3417
"chr1:23836572",4443,3388,3310,4389,3392
"chr1:23836573",4394,3333,3258,4308,3358
"chr1:23836574",4372,3311,3221,4267,3307
"chr1:23836575",4289,3244,3167,4179,3253
"chr1:23836576",4213,3205,3115,4137,3213
"chr1:23836577",4180,3140,3084,4089,3206
"chr1:23836578",4170,3119,3077,4079,3206
"chr1:23836579",4151,3100,3066,4069,3192
"chr1:23836580",4106,3052,3034,4033,3168
"chr1:23836581",4174,3076,3064,4074,3204
"chr1:23836582",4174,3072,3066,4082,3187
"chr1:23836583",4066,3005,2978,4005,3124
"chr1:23836584",4001,2933,2941,3955,3079
"chr1:23836585",4019,2941,2922,3935,3061
"chr1:23836586",3997,2914,2900,3901,3042
"chr1:23836587",3899,2843,2832,3791,2942
"chr1:23836588",3825,2778,2732,3648,2844
"chr1:23836589",3752,2720,2691,3608,2817
"chr1:23836590",3841,2772,2736,3668,2897
"chr1:23836591",3860,2793,2733,3702,2895
"chr1:23836592",3824,2742,2729,3704,2879
"chr1:23836593",3864,2759,2750,3731,2916
"chr1:23836594",3858,2757,2718,3747,2910
"chr1:23836595",3831,2732,2707,3723,2889
"chr1:23836596",3740,2676,2664,3669,2851
"chr1:23836597",3694,2661,2646,3641,2825
"chr1:23836598",3706,2663,2637,3643,2823
"chr1:23836599",3721,2672,2645,3758,2826
"chr1:23836600",3682,2629,2635,3696,2800
"chr1:23836601",3703,2653,2633,3737,2809
"chr1:23836602",3709,2655,2629,3764,2810
"chr1:23836603",3653,2613,2600,3717,2778
"chr1:23836604",3661,2623,2609,3735,2778
"chr1:23836605",3665,2615,2617,3746,2787
"chr1:23836606",3678,2617,2620,3732,2787
"chr1:23836607",3695,2614,2621,3759,2787
"chr1:23836608",3652,2602,2589,3716,2749
"chr1:23836609",3637,2566,2585,3703,2715
"chr1:23836610",3613,2570,2569,3664,2706
"chr1:23836611",3627,2576,2588,3668,2731
"chr1:23836612",3629,2576,2583,3706,2739
"chr1:23836613",3634,2578,2576,3692,2731
"chr1:23836614",3681,2605,2595,3721,2759
"chr1:23836615",3703,2621,2612,3762,2781
"chr1:23836616",3717,2620,2611,3767,2794
"chr1:23836617",3808,2674,2665,3846,2845
"chr1:23836618",3827,2715,2685,3855,2865
"chr1:23836619",3809,2695,2699,3820,2841
"chr1:23836620",3779,2671,2671,3786,2811
"chr1:23836621",3764,2662,2666,3803,2794
"chr1:23836622",3767,2678,2670,3862,2788
"chr1:23836623",3748,2669,2661,3850,2785
"chr1:23836624",3744,2664,2659,3853,2787
"chr1:23836625",3773,2689,2682,3909,2810
"chr1:23836626",3768,2696,2680,3914,2812
"chr1:23836627",3747,2682,2677,3897,2807
"chr1:23836628",3744,2674,2681,3890,2812
"chr1:23836629",3748,2668,2678,3889,2813
"chr1:23836630",3733,2667,2673,3884,2807
"chr1:23836631",3735,2667,2666,3889,2814
"chr1:23836632",3741,2666,2669,3892,2812
"chr1:23836633",3704,2652,2647,3861,2790
"chr1:23836634",3705,2650,2647,3859,2787
"chr1:23836635",3707,2647,2645,3852,2783
"chr1:23836636",3676,2638,2634,3820,2771
"chr1:23836637",3678,2630,2638,3828,2771
"chr1:23836638",3667,2622,2625,3804,2759
"chr1:23836639",3655,2609,2615,3782,2752
"chr1:23836640",3659,2608,2615,3777,2751
"chr1:23842827",7327,6858,5552,7428,6372
"chr1:23842828",7440,7018,5744,7687,6554
"chr1:23842829",7595,7188,5815,7809,6706
"chr1:23842830",7621,7202,5833,7805,6762
"chr1:23842831",7679,7214,5874,7860,6817
"chr1:23842832",7689,7262,5885,7878,6833
"chr1:23842833",7687,7260,5891,7898,6830
"chr1:23842834",7833,7376,5999,8002,6942
"chr1:23842835",7930,7431,6065,8080,7008
"chr1:23842836",7972,7454,6106,8136,7053
"chr1:23842837",8161,7638,6270,8299,7199
"chr1:23842838",8203,7695,6322,8328,7226
"chr1:23842839",8243,7739,6376,8396,7265
"chr1:23842840",8257,7757,6383,8365,7255
"chr1:23842841",8347,7837,6429,8441,7299
"chr1:23842842",8410,7878,6437,8492,7330
"chr1:23842843",8463,7948,6469,8553,7367
"chr1:23842844",8487,7980,6494,8579,7394
"chr1:23842845",9174,8527,6929,9221,7915
"chr1:23842846",9286,8679,7021,9398,8016
"chr1:23842847",9306,8678,7042,9429,8046
"chr1:23842848",9518,8859,7206,9675,8289
"chr1:23842849",9551,8879,7216,9720,8315
"chr1:23842850",9542,8876,7231,9725,8308
"chr1:23842851",9649,8917,7276,9803,8402
"chr1:23842852",9762,9010,7331,9888,8492
"chr1:23842853",9847,9138,7414,9996,8655
"chr1:23842854",9924,9247,7521,10111,8769
"chr1:23842855",9999,9342,7582,10190,8865
"chr1:23842856",10139,9449,7680,10257,8974
"chr1:23842857",10177,9512,7703,10298,9022
"chr1:23842858",10193,9534,7717,10306,9035
"chr1:23842859",10140,9510,7700,10297,9033
"chr1:23842860",10192,9590,7733,10342,9082
"chr1:23842861",10274,9687,7785,10434,9182
"chr1:23842862",10297,9708,7826,10456,9215
"chr1:23842863",10349,9729,7881,10525,9274
"chr1:23842864",10424,9777,7879,10538,9328
"chr1:23842865",10441,9817,7890,10550,9355
"chr1:23842866",10507,9890,7932,10460,9437
"chr1:23842867",10702,9988,8118,10655,9615
"chr1:23842868",10764,10047,8162,10725,9644
"chr1:23842869",10739,10028,8182,10726,9648
"chr1:23842870",10973,10211,8312,10932,9797
"chr1:23842871",11013,10269,8370,11066,9853
"chr1:23842872",10972,10275,8385,11112,9860
"chr1:23842873",11103,10451,8468,11214,9952
"chr1:23842874",11204,10520,8527,11330,10041
"chr1:23842875",11205,10547,8517,11340,10059
"chr1:23842876",11255,10629,8585,11402,10117
"chr1:23842877",11268,10637,8592,11421,10138
"chr1:23842878",11450,10800,8732,11574,10313
"chr1:23842879",11606,10886,8865,11734,10392
"chr1:23842880",11572,10828,8897,11699,10374
"chr1:23842881",11560,10822,8865,11713,10384
"chr1:23842882",11531,10836,8831,11736,10343
"chr1:23842883",11597,10933,8857,11851,10422
"chr1:23842884",11586,10947,8907,11929,10460
"chr1:23842885",11643,11019,8923,11979,10502
"chr1:23842886",11585,10963,8947,11982,10544
"chr1:23842887",11726,11138,9039,12085,10659
"chr1:23842888",11750,11229,9059,12129,10701
"chr1:23842889",11838,11274,9134,12212,10785
"chr1:23842890",11842,11288,9158,12235,10809
"chr1:23842891",11816,11293,9149,12251,10804
"chr1:23842892",11829,11344,9187,12460,10835
"chr1:23842893",11789,11293,9203,12447,10812
"chr1:23842894",11953,11492,9308,12581,10984
"chr1:23842895",12057,11628,9383,12673,11086
"chr1:23842896",12064,11637,9391,12681,11104
"chr1:23842897",12068,11655,9394,12707,11111
"chr1:23842898",12067,11683,9400,12735,11131
"chr1:23842899",12044,11691,9403,12769,11152
"chr1:23842900",12121,11762,9447,12906,11199
"chr1:23842901",12063,11712,9412,12849,11190
"chr1:23842902",12129,11784,9452,12937,11223
"chr1:23842903",12200,11891,9471,13015,11295
"chr1:23842904",12195,11928,9475,13033,11272
"chr1:23842905",12141,11865,9469,13049,11293
"chr1:23842906",12257,11969,9543,13121,11356
"chr1:23842907",12276,12000,9547,13124,11372
"chr1:23842908",12176,11925,9477,13057,11330
"chr1:23842909",12291,12061,9534,13142,11383
"chr1:23842910",12302,12044,9519,13124,11409
"chr1:23842911",12209,12009,9511,13104,11375
"chr1:23842912",12332,12088,9548,13252,11454
"chr1:23842913",12432,12162,9580,13384,11649
"chr1:23842914",12413,12224,9586,13412,11672
"chr1:23842915",12485,12262,9644,13498,11729
"chr1:23842916",12503,12293,9645,13543,11750
"chr1:23842917",12491,12323,9655,13573,11757
"chr1:23842918",12476,12299,9633,13550,11717
"chr1:23842919",12389,12232,9596,13468,11628
"chr1:23842920",12445,12273,9615,13505,11671
"chr1:23842921",12346,12217,9589,13452,11631
"chr1:23842922",12410,12297,9589,13506,11685
"chr1:23842923",12416,12322,9607,13539,11695
"chr1:23842924",12468,12338,9601,13648,11714
"chr1:23842925",12386,12289,9567,13589,11671
"chr1:23842926",12848,12681,9848,13896,12049
"chr1:23842927",12902,12809,9910,14032,12162
"chr1:23842928",12880,12832,9927,14023,12181
"chr1:23842929",13069,13017,10061,14179,12386
"chr1:23842930",13076,13015,10058,14208,12400
"chr1:23842931",13047,12988,10050,14210,12396
"chr1:23842932",12994,12916,10016,14131,12338
"chr1:23842933",12917,12887,9956,14071,12248
"chr1:23842934",12986,12966,9987,14127,12291
"chr1:23842935",12984,12939,9979,14117,12308
"chr1:23842936",12979,12919,9957,14123,12287
"chr1:23842937",13016,13026,9996,14138,12327
"chr1:23842938",13008,13024,10004,14113,12340
"chr1:23842939",13030,13077,10040,14152,12363
"chr1:23842940",13023,13072,10057,14181,12383
"chr1:23842941",13041,13099,10067,14183,12378
"chr1:23842942",13018,13101,10063,14192,12389
"chr1:23842943",12902,13013,9977,14145,12279
"chr1:23842944",12882,13021,9942,14131,12270
"chr1:23842945",12876,12979,9927,13981,12262
"chr1:23842946",12723,12870,9786,13814,12152
"chr1:23842947",12931,12987,9911,14003,12301
"chr1:23842948",12988,13038,9951,14000,12335
"chr1:23842949",12924,13009,9888,13957,12251
"chr1:23842950",12960,13037,9909,13956,12271
"chr1:23842951",12951,13022,9878,13929,12185
"chr1:23842952",12755,12824,9756,13863,12031
"chr1:23842953",12881,12863,9819,13924,12042
"chr1:23842954",12871,12868,9831,13956,12026
"chr1:23842955",12695,12632,9713,13836,11897
"chr1:23842956",13172,13037,10047,14203,12238
"chr1:23842957",13197,13058,10072,14265,12270
"chr1:23842958",13157,13029,10073,14245,12265
"chr1:23842959",13254,13061,10129,14325,12331
"chr1:23842960",13195,13043,10108,14297,12319
"chr1:23842961",13214,13009,10097,14290,12324
"chr1:23842962",13223,13004,10091,14268,12297
"chr1:23842963",12877,12687,9877,14034,12039
"chr1:23842964",12748,12591,9807,13923,11860
"chr1:23842965",12615,12513,9776,13873,11832
"chr1:23842966",12630,12553,9784,13914,11859
"chr1:23842967",12585,12566,9774,13899,11829
"chr1:23842968",12642,12577,9779,13951,11836
"chr1:23842969",12572,12553,9740,13881,11747
"chr1:23842970",12038,12015,9347,13363,11269
"chr1:23842971",11696,11672,9127,13051,11013
"chr1:23842972",11652,11658,9067,13021,10930
"chr1:23842973",11604,11643,9054,12954,10907
"chr1:23842974",11762,11806,9169,13056,11053
"chr1:23842975",11720,11762,9150,13043,11025
"chr1:23842976",11631,11677,9117,12978,10957
"chr1:23842977",11945,11962,9293,13255,11135
"chr1:23842978",11960,11938,9286,13210,11127
"chr1:23842979",11872,11888,9254,13146,11085
"chr1:23842980",11965,11862,9274,13200,11122
"chr1:23842981",11973,11867,9223,13199,11090
"chr1:23842982",11684,11557,9073,12950,10928
"chr1:23842983",11482,11373,8910,12774,10764
"chr1:23842984",11372,11193,8796,12611,10571
"chr1:23842985",11388,11225,8822,12629,10586
"chr1:23842986",11415,11289,8828,12649,10562
"chr1:23842987",11378,11237,8808,12630,10542
"chr1:23842988",11487,11247,8829,12696,10550
"chr1:23842989",11546,11324,8835,12727,10570
"chr1:23842990",11521,11256,8811,12665,10534
"chr1:23842991",11469,11176,8761,12556,10464
"chr1:23842992",10570,10403,8078,11646,9783
"chr1:23842993",10562,10369,8085,11611,9788
"chr1:23842994",10552,10307,8028,11543,9726
"chr1:23842995",10507,10200,8003,11491,9691
"chr1:23842996",10613,10215,8023,11500,9695
"chr1:23842997",10573,10217,8015,11485,9671
"chr1:23842998",10878,10354,8134,11629,9797
"chr1:23842999",10957,10423,8136,11659,9826
"chr1:23843000",10604,10133,7895,11396,9599
"chr1:23843001",10652,10135,7891,11359,9586
"chr1:23843002",10476,9985,7751,11194,9445
"chr1:23843003",10353,9805,7659,11039,9358
"chr1:23843004",10373,9786,7652,11017,9332
"chr1:23843005",10372,9763,7628,10945,9304
"chr1:23843006",10346,9764,7626,10927,9295
"chr1:23843007",10330,9714,7624,10889,9260
"chr1:23843008",10322,9738,7626,10923,9248
"chr1:23843009",10242,9649,7614,10838,9219
"chr1:23843010",10235,9609,7580,10815,9176
"chr1:23843011",10180,9533,7497,10697,9113
"chr1:23843012",9844,9349,7278,10329,8845
"chr1:23843013",9719,9242,7171,10200,8745
"chr1:23843014",9664,9110,7100,10059,8644
"chr1:23843015",9400,8899,6911,9755,8439
"chr1:23843016",9326,8817,6844,9650,8350
"chr1:23843017",9334,8795,6843,9674,8341
"chr1:23843018",9277,8762,6817,9636,8301
"chr1:23843019",9289,8747,6814,9630,8285
"chr1:23845508",10246,11422,9102,12386,10177
"chr1:23845509",10193,11395,9130,12374,10180
"chr1:23845510",10362,11518,9257,12531,10318
"chr1:23845511",10328,11505,9267,12528,10317
"chr1:23845512",10381,11565,9290,12561,10356
"chr1:23845513",10374,11554,9274,12538,10346
"chr1:23845514",10470,11639,9352,12616,10418
"chr1:23845515",10458,11653,9376,12632,10441
"chr1:23845516",10596,11764,9465,12747,10578
"chr1:23845517",10677,11837,9543,12757,10695
"chr1:23845518",10646,11851,9569,12771,10728
"chr1:23845519",10742,11981,9668,12907,10836
"chr1:23845520",10812,12035,9717,12982,10887
"chr1:23845521",10787,12069,9724,12980,10881
"chr1:23845522",10721,12046,9670,12937,10816
"chr1:23845523",10663,12008,9602,12872,10777
"chr1:23845524",10824,12403,9939,13271,10901
"chr1:23845525",10923,12567,10041,13428,11057
"chr1:23845526",10925,12584,10079,13455,11112
"chr1:23845527",11000,12801,10188,13572,11267
"chr1:23845528",11509,13371,10613,14085,11784
"chr1:23845529",11497,13386,10608,14101,11798
"chr1:23845530",11509,13418,10620,14105,11781
"chr1:23845531",11636,13610,10695,14230,11923
"chr1:23845532",11593,13601,10701,14252,11907
"chr1:23845533",11633,13662,10751,14309,11960
"chr1:23845534",11523,13590,10674,14235,11906
"chr1:23845535",11776,13847,10907,14532,12218
"chr1:23845536",11802,13859,10929,14569,12251
"chr1:23845537",11784,13866,10957,14553,12255
"chr1:23845538",11854,13958,11025,14639,12321
"chr1:23845539",11883,13958,11053,14656,12341
"chr1:23845540",11936,14028,11092,14674,12381
"chr1:23845541",12027,14100,11200,14791,12467
"chr1:23845542",12055,14140,11220,14849,12489
"chr1:23845543",12034,14120,11206,14853,12478
"chr1:23845544",11959,14036,11162,14789,12408
"chr1:23845545",11983,14125,11157,14831,12419
"chr1:23845546",11937,14068,11135,14775,12350
"chr1:23845547",11769,13823,11054,14687,12246
"chr1:23845548",11689,13807,11067,14614,12225
"chr1:23845549",11685,13852,11132,14677,12252
"chr1:23845550",11689,13860,11181,14703,12291
"chr1:23845551",11617,13798,11130,14659,12230
"chr1:23845552",11717,13907,11252,14779,12301
"chr1:23845553",11731,13902,11298,14867,12337
"chr1:23845554",11665,13838,11231,14829,12269
"chr1:23845555",11721,13936,11219,14877,12289
"chr1:23845556",11729,13924,11215,14832,12301
"chr1:23845557",11459,13722,11003,14629,12111
"chr1:23845558",11501,13773,11066,14661,12129
"chr1:23845559",11356,13619,10963,14469,12001
"chr1:23845560",11318,13624,10929,14391,11964
"chr1:23845561",11341,13652,10947,14376,11984
"chr1:23845562",11343,13669,10945,14339,11979
"chr1:23845563",11259,13586,10895,14260,11920
"chr1:23845564",11222,13584,10904,14230,11873
"chr1:23845565",11196,13596,10915,14259,11884
"chr1:23845566",11237,13670,10927,14271,11925
"chr1:23845567",11218,13579,10890,14259,11903
"chr1:23845568",11206,13546,10895,14224,11874
"chr1:23845569",10848,13220,10647,13812,11548
"chr1:23845570",10909,13217,10680,13822,11540
"chr1:23845571",10915,13240,10664,13834,11488
"chr1:23845572",10777,13139,10577,13718,11376
"chr1:23845573",11150,13409,10922,14127,11735
"chr1:23845574",11206,13465,10974,14244,11793
"chr1:23845575",11040,13269,10831,14111,11601
"chr1:23845576",11099,13321,10896,14135,11660
"chr1:23845577",11110,13323,10923,14164,11671
"chr1:23845578",11006,13199,10839,13998,11583
"chr1:23845579",11001,13205,10804,13962,11585
"chr1:23845580",11001,13169,10786,13927,11582
"chr1:23845581",10863,13075,10704,13770,11481
"chr1:23845582",10815,13111,10690,13777,11495
"chr1:23845583",10952,13236,10800,13913,11550
"chr1:23845584",10950,13226,10758,13941,11572
"chr1:23845585",10935,13162,10735,13905,11567
"chr1:23845586",10670,12881,10512,13648,11330
"chr1:23845587",10637,12915,10489,13712,11337
"chr1:23845588",10637,12996,10508,13707,11371
"chr1:23845589",10611,12968,10467,13665,11331
"chr1:23845590",10702,13098,10579,13866,11449
"chr1:23845591",10727,13119,10622,13901,11488
"chr1:23845592",10705,13117,10638,13871,11485
"chr1:23845593",10760,13102,10689,13953,11488
"chr1:23845594",10738,13019,10677,13941,11464
"chr1:23845595",10593,12808,10539,13792,11320
"chr1:23845596",10535,12772,10478,13735,11275
"chr1:23845597",10522,12702,10455,13694,11255
"chr1:23845598",10519,12660,10455,13680,11253
"chr1:23845599",10521,12614,10461,13739,11277
"chr1:23845600",10786,12859,10722,14022,11471
"chr1:23845601",10831,12886,10749,14073,11517
"chr1:23845602",10740,12707,10687,13994,11435
"chr1:23845603",10852,12746,10756,14036,11501
"chr1:23845604",10835,12635,10713,13976,11436
"chr1:23845605",10629,12368,10532,13757,11230
"chr1:23845606",10482,12168,10429,13603,11103
"chr1:23845607",10467,12106,10375,13513,11067
"chr1:23845608",10519,12147,10402,13651,11099
"chr1:23845609",10449,12085,10350,13621,11042
"chr1:23845610",10503,12146,10359,13678,11077
"chr1:23845611",10473,12134,10323,13686,11061
"chr1:23845612",10550,12183,10379,13770,11115
"chr1:23845613",10538,12171,10382,13755,11095
"chr1:23845614",10397,11974,10257,13674,10944
"chr1:23845615",10363,11940,10237,13633,10913
"chr1:23845616",10344,11897,10210,13631,10907
"chr1:23845617",10362,11874,10193,13617,10883
"chr1:23845618",10365,11840,10175,13674,10868
"chr1:23845619",10261,11762,10106,13613,10783
"chr1:23845620",10148,11646,10045,13565,10747
"chr1:23845621",10143,11601,10028,13533,10723
"chr1:23845622",10120,11560,9998,13527,10699
"chr1:23847405",8769,8633,7085,10382,7900
